page455	129	.00297731
page371	135	.00294134
page148	121	.00282925
page125	135	.00244379
page359	144	.00242789
page432	131	.00241748
page205	146	.00238145
page423	125	.00236524
page354	135	.00234062
page34	117	.00231285
page121	137	.00229409
page191	119	.00228995
page451	137	.00227992
page484	139	.00227611
page361	117	.00227374
page226	130	.00227030
page206	120	.00225716
page352	122	.00225279
page392	116	.00225151
page140	129	.00224369
page442	130	.00223566
page176	119	.00223328
page22	127	.00223097
page142	139	.00222872
page316	115	.00221957
page190	125	.00221666
page267	130	.00220876
page105	131	.00220719
page97	143	.00220447
page418	120	.00219940
page298	123	.00219710
page120	138	.00218954
page272	123	.00218810
page404	124	.00218506
page462	101	.00217911
page497	126	.00217395
page195	130	.00216847
page77	118	.00216676
page7	120	.00216447
page197	118	.00216444
page251	112	.00216113
page11	132	.00215897
page493	122	.00215387
page390	131	.00215292
page383	127	.00215056
page207	130	.00214409
page215	126	.00214137
page238	131	.00213827
page494	107	.00213433
page360	122	.00213427
page143	129	.00213385
page327	129	.00213067
page312	116	.00212996
page499	116	.00212702
page315	129	.00212700
page403	117	.00212550
page405	127	.00212433
page110	122	.00212417
page0	123	.00212378
page151	125	.00212185
page28	122	.00212178
page331	130	.00212178
page362	132	.00212038
page279	133	.00211828
page444	130	.00211824
page292	127	.00211731
page393	122	.00211684
page89	131	.00211580
page185	125	.00211565
page234	112	.00211522
page66	127	.00211513
page286	124	.00211365
page453	110	.00211239
page303	123	.00211186
page247	126	.00211143
page72	117	.00211006
page237	120	.00210630
page87	137	.00210489
page80	123	.00210431
page486	118	.00210300
page263	128	.00210284
page368	106	.00210267
page344	129	.00209998
page439	126	.00209794
page470	125	.00209294
page498	128	.00208937
page409	120	.00208775
page183	124	.00208687
page114	112	.00208497
page149	111	.00208351
page436	125	.00208312
page179	117	.00208295
page424	111	.00208007
page309	119	.00207959
page419	114	.00207593
page269	134	.00207546
page450	126	.00207378
page107	119	.00207325
page187	127	.00207288
page27	125	.00207247
page495	129	.00207211
page232	104	.00207178
page32	136	.00207114
page67	115	.00206864
page21	125	.00206841
page468	125	.00206836
page112	120	.00206779
page349	125	.00206712
page460	122	.00206711
page220	127	.00206683
page412	122	.00206605
page124	125	.00206509
page23	128	.00206501
page135	119	.00206460
page160	128	.00206457
page244	130	.00206348
page472	120	.00206272
page260	128	.00206235
page156	129	.00206177
page376	129	.00206029
page231	114	.00205771
page347	133	.00205664
page200	123	.00205614
page302	132	.00205587
page427	125	.00205548
page366	126	.00205545
page96	118	.00205522
page469	126	.00205463
page155	128	.00205455
page398	122	.00205207
page408	138	.00205202
page356	124	.00205198
page387	134	.00205152
page174	121	.00205126
page75	119	.00205033
page443	129	.00204908
page320	130	.00204897
page252	114	.00204878
page288	121	.00204859
page137	125	.00204841
page283	119	.00204661
page212	118	.00204602
page236	126	.00204566
page204	113	.00204554
page416	121	.00204195
